eventfile for the exclsuive pi0 BSA analysis cross check
contact: Stefan Diehl (sdiehl@jlab.org)
---------------------------------------------------------------------------------------------------------------------
eventnumber	x	Q2	W	-t	phi[deg]	Mgg
---------------------------------------------------------------------------------------------------------------------
20405	0.239315	2.72757	3.09033	1.3326	132.282	0.136651
23622	0.436471	3.24192	2.25078	0.599975	111.898	0.134297
114172	0.53255	4.74987	2.24712	1.4593	190.758	0.154788
169042	0.308519	2.28225	2.44857	0.305766	125.492	0.152683
206831	0.296359	2.07225	2.40841	2.4756	279.243	0.150811
224080	0.434345	4.29078	2.54328	0.668672	111.203	0.129886
252536	0.441824	2.97788	2.15463	0.978844	136.136	0.158281
316568	0.628784	6.79949	2.21236	1.84711	243.052	0.120297
337891	0.528077	5.08808	2.32967	1.48785	111.208	0.127052
347365	0.360122	3.65716	2.71634	0.559845	201.895	0.129466
355004	0.515288	4.55597	2.27288	1.53266	127.749	0.133337
495935	0.384816	2.5095	2.21182	0.651435	230.168	0.126758
713976	0.330474	2.07277	2.25381	0.48924	237.795	0.137781
794237	0.425684	3.72891	2.4313	0.502345	172.716	0.150344
803453	0.356055	3.61355	2.72317	0.835574	128.203	0.148244
817075	0.312217	2.43462	2.49871	0.623298	127.152	0.146528
861460	0.455946	3.74336	2.31238	1.12016	146.396	0.135481
1018639	0.305576	2.47803	2.5518	0.420996	169.416	0.138703
1034379	0.310675	2.19912	2.39994	0.341701	197.798	0.118801
1205822	0.346867	2.91332	2.52309	0.650293	235.357	0.147968
1309747	0.550674	5.90718	2.38754	0.688394	118.934	0.121958
1329345	0.375839	2.99914	2.42096	0.376143	97.1508	0.130941
1357574	0.53092	6.63928	2.59736	0.900716	102.831	0.121338
1380959	0.534492	4.56444	2.20356	0.887832	158.025	0.142048
1466896	0.465979	4.35924	2.42407	0.587334	91.2458	0.154687
1501811	0.383539	2.96497	2.37611	0.284764	62.3789	0.118277
1519903	0.702793	8.84135	2.14925	1.72321	293.365	0.120511
1612212	0.415458	4.61439	2.71527	0.810184	115.89	0.12643
1645011	0.374489	2.75237	2.34043	0.334837	240.106	0.136924
1674258	0.470012	4.18669	2.3667	0.401909	21.2204	0.135367
1739647	0.260747	2.90329	3.01853	0.586136	167.464	0.131267
1790607	0.301581	2.8004	2.71397	0.439049	143.853	0.130233
1843158	0.321946	4.28814	3.14828	1.92729	187.308	0.143905
1884152	0.393351	4.27832	2.7347	0.259351	260.445	0.14433
2143630	0.565947	6.97378	2.49577	2.96449	84.6439	0.146364
2165759	0.266562	3.54306	3.26021	0.294781	181.066	0.134463
2209875	0.378862	2.35271	2.1766	0.691859	222.807	0.133193
2340687	0.420889	3.35961	2.34583	0.521356	74.0928	0.120937
2340763	0.527856	5.74837	2.45398	0.994895	168.957	0.122693
2355453	0.366771	2.31051	2.20668	0.780409	230.206	0.137268
2386702	0.224548	2.56514	3.1207	0.501091	182.186	0.134791
2432928	0.430559	2.5875	2.07424	0.453669	117.483	0.12851
2520958	0.428584	4.18624	2.54199	2.53661	111.746	0.140941
2703621	0.603156	5.15431	2.06678	1.21647	44.6932	0.141558
2823108	0.353988	4.4906	3.01255	0.260958	174.222	0.126134
2841881	0.584247	5.85521	2.24654	0.74183	286.928	0.127751
2966469	0.325158	4.20293	3.09891	2.60585	270.248	0.131254
2998745	0.344149	2.50279	2.37696	0.274049	146.746	0.135228
3012938	0.420142	3.36783	2.35126	0.442373	256.521	0.133812
3027498	0.500783	3.83917	2.16968	0.521929	97.5641	0.136355
3038307	0.549918	3.9645	2.03103	2.14725	291.991	0.136769
3169023	0.373339	2.5106	2.25709	0.465886	130.23	0.141775
3175063	0.291009	2.13581	2.46655	3.31095	74.249	0.128726
3381033	0.361869	2.58652	2.3327	0.439149	152.575	0.142062
3400118	0.499429	6.1421	2.65263	2.84017	142.563	0.127121
3410289	0.351627	4.81613	3.12424	1.4429	130.229	0.129846
3457686	0.506419	3.59621	2.09413	0.543356	267.082	0.144596
3464399	0.323272	2.93246	2.64935	0.520075	117.78	0.127975
3511415	0.301308	2.86358	2.74237	1.97463	154.385	0.126239
3554477	0.208093	2.52069	3.23618	1.31914	196.323	0.1157
3582501	0.283222	2.51594	2.69215	1.28469	191.442	0.128541
3882057	0.355205	2.58394	2.36027	0.531513	196.84	0.13542
3983090	0.333435	2.71669	2.51221	0.842454	115.551	0.135258
4055497	0.444632	2.68541	2.0578	0.649006	230.121	0.131054
4063349	0.448496	3.27406	2.21503	0.87563	120.845	0.145144
4099883	0.561688	7.18483	2.54696	0.797899	10.9267	0.148266
4167194	0.185821	2.2156	3.25393	2.53772	264.786	0.127288
4232311	0.435901	2.69639	2.09039	1.00814	109.021	0.129468
4394476	0.53586	4.15744	2.11692	1.55876	281.564	0.146412
4488990	0.381462	2.70227	2.29391	0.44644	183.366	0.126348
4663168	0.468835	3.21089	2.12558	3.21865	68.852	0.136687
4730159	0.642063	5.98795	2.0539	4.39035	313.762	0.131167
4852404	0.305923	2.65712	2.62846	1.40832	243.512	0.135394
4957938	0.392459	4.01185	2.66286	0.719398	200.574	0.131364
5186083	0.419769	2.99663	2.24108	0.473112	84.6573	0.132155
5212183	0.367407	3.22868	2.5376	0.761696	206.428	0.127788
5224596	0.264479	3.41777	3.22261	1.13863	236.076	0.122601
5276566	0.638261	6.02041	2.07182	0.934408	116.939	0.14633
5279690	0.423967	2.6452	2.11525	1.07383	142.059	0.126335
5294196	0.476936	6.04918	2.74127	0.427992	292.706	0.134802
5511340	0.32821	2.18559	2.31384	0.431207	155.108	0.144241
5656151	0.530434	4.342	2.17349	0.687367	57.3466	0.142971
5696699	0.440682	5.01319	2.6913	0.562118	70.3133	0.1408
6050574	0.374616	4.57202	2.91768	1.13851	207.445	0.114446
6061577	0.414671	2.75484	2.18379	0.394087	273.526	0.131538
6163874	0.283275	2.85398	2.84628	0.483584	151.58	0.141634
6337438	0.287946	2.16942	2.49901	1.10196	189.167	0.132975
6338057	0.258508	3.01906	3.0887	0.419794	202.735	0.126975
6375503	0.344016	3.38495	2.7083	1.59095	177.101	0.120917
6399022	0.471774	5.99897	2.75629	1.84841	176.307	0.156645
6568207	0.474083	3.12336	2.08451	1.48741	85.6902	0.112093
6665287	0.561087	5.146	2.21491	0.549077	60.8075	0.12618
6779891	0.565395	7.20907	2.53412	0.62682	344.098	0.121292
6912822	0.293012	2.83514	2.77867	1.0755	225.485	0.133113
6948296	0.296802	2.95064	2.80555	0.842124	219.152	0.148321
6952690	0.577261	4.86408	2.1077	0.870005	314.322	0.15691
7095820	0.503013	7.1006	2.80996	1.84033	250.188	0.144068
7146538	0.306256	2.65536	2.6259	1.15968	168.913	0.117898
7188858	0.401155	2.25329	2.06011	0.337761	223.555	0.129982
7216727	0.451102	4.99118	2.63696	1.22325	175.548	0.11738
7236750	0.606788	6.2205	2.21616	0.92537	18.161	0.132726
7328865	0.357036	2.56824	2.34634	0.40142	92.9965	0.128602
7353937	0.408431	2.90421	2.25539	0.380881	96.2736	0.130915
7368272	0.376002	2.78263	2.34484	0.674378	256.911	0.123587
7684884	0.25572	2.31948	2.76247	0.634518	190.591	0.118549
7816210	0.31599	2.26724	2.40586	1.03287	137.841	0.121746
7825858	0.456972	4.74526	2.55327	0.787258	264.74	0.133003
7827572	0.431374	3.83132	2.4353	1.97276	99.9417	0.159489
7897485	0.429147	3.43307	2.33388	2.16889	81.2337	0.123188
