eventfile for the exclsuive pi0 BSA analysis cross check
contact: Stefan Diehl (sdiehl@jlab.org)
---------------------------------------------------------------------------------------------------------------------
eventnumber	x	Q2	W	-t	phi[deg]	Mgg
---------------------------------------------------------------------------------------------------------------------
318985	0.286553	2.31641	2.5783	0.863686	141.493	0.126149
548291	0.309117	2.96005	2.7379	0.45072	231.612	0.115301
1125105	0.225585	2.36319	2.99883	0.327741	165.804	0.125237
1241413	0.507488	5.36803	2.46778	1.42671	93.1575	0.137064
1373799	0.367295	3.18985	2.52492	1.28023	250.986	0.133802
1550416	0.403435	3.13037	2.34718	0.386429	88.7306	0.145149
1553074	0.590279	4.58577	2.01578	1.71919	279.442	0.130224
1554011	0.304578	2.07874	2.37204	0.797536	114.239	0.133121
1896107	0.387689	2.91504	2.34186	2.10229	75.2256	0.144291
1976577	0.626866	5.74152	2.07314	2.25368	63.8247	0.122915
1982770	0.309102	3.04345	2.77182	0.601826	155.429	0.141237
2103288	0.332477	2.62475	2.47994	0.537558	140.789	0.147782
2382749	0.402712	3.88422	2.57706	0.973024	106.701	0.120442
2538027	0.28918	2.18997	2.50268	0.710259	227.877	0.139084
2835126	0.210887	3.11833	3.54242	2.59261	235.993	0.146728
2866764	0.301285	2.39516	2.53673	0.44637	104.509	0.112639
2924362	0.379506	4.05353	2.74005	0.756042	122.299	0.124897
2995670	0.409858	5.08017	2.86271	1.30762	217.375	0.140827
3133880	0.385804	2.31831	2.138	1.02483	120.533	0.1452
3239063	0.396916	4.15327	2.68159	2.26963	116.322	0.131179
3377723	0.269354	2.05393	2.54004	1.79445	267.785	0.134118
3402217	0.41964	4.82303	2.74783	0.521478	325.558	0.142853
3638549	0.623129	7.1777	2.28505	1.13729	56.3771	0.138949
3691413	0.385443	2.89285	2.34366	0.88948	246.267	0.113293
3740007	0.374524	2.80768	2.35994	1.83014	116.176	0.129059
3856939	0.25349	2.28566	2.75888	0.353957	118.279	0.130757
4017790	0.689032	7.67053	2.08377	1.30399	47.0695	0.156709
4050523	0.278817	3.83707	3.28713	0.383472	137.728	0.124754
4155981	0.589123	4.6604	2.03241	0.959223	79.1932	0.128148
4463974	0.468705	4.01289	2.33004	2.13299	126.465	0.137515
